Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
REI,4.14,4.46,04/20/22,6.28,-2.24,8.30,,,
ASC,7.44,5.91,04/22/22,-8.97,5.41,18.44,,,
ASC,7.44,5.67,04/23/22,-5.11,9.88,23.46,,,
ASC,7.44,6.33,04/27/22,-1.26,3.63,10.74,,,
ASC,7.44,6.32,05/02/22,7.28,-5.54,12.66,,,
ASC,7.44,6.78,05/03/22,-3.24,-4.13,11.06,,,
REI,4.14,4.83,05/04/22,2.48,-8.49,-14.29,,,
REI,4.14,5.00,05/06/22,-12.80,-17.20,,,,
RMTI,1.93,2.05,05/13/22,0,,,,,
DHX,6.80,6.66,05/16/22,1.95,,,,,
CIG,2.91,2.86,05/17/22,1.75,,,,,
DHX,6.80,6.79,05/17/22,0.15,,,,,
CNCE,4.85,4.85,05/18/22,,,,,,
CIG,2.91,2.91,05/18/22,,,,,,
DHX,6.80,6.80,05/18/22,,,,,,
